Id,Burg,Province,Province Full Name,State,State Full Name,Culture,Religion,Group,Population,X,Y,Latitude,Longitude,Elevation (m),Temperature,Temperature likeness,Capital,Port,Citadel,Walls,Plaza,Temple,Shanty Town,Emblem,Preview link
170,Solnes,Enesetia,Enesetia Territory,Lauda,Grand Duchy of Lauda,Norse,Stamsan Pantheon,town,5330,304.72,279.88,31.72,-14.22,49,11°C,Antwerp (Belgium),,port,,,,,,{t1:or;division:{division:perBend;t:azure;line:indented};charges:[{charge:fusil;t:gules;p:l;size:0.7};{charge:scissors2;t:argent;p:m;size:0.7}];shield:heater},https://watabou.github.io/city-generator/?name=Solnes&population=5330&size=24&seed=2563131000170&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
171,Suran,Tengryurt,Tengryurt County,Stansburia,Stansburian Empire,Turchian,Kocapism,city,1543,758.56,370.16,27.4,7.49,324,12°C,Paris (France),,port,citadel,,,,,{t1:vert;charges:[{charge:talbotSejant;t:or;p:e;t2:argent;t3:argent;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Suran&population=1543&size=15&seed=2563131000171&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
172,Pegera,Pegera,Pegera Earldom,Peina,Principality of Peina,Elladan,Tamanian Heresy,city,1416,1025.33,565.15,18.08,20.25,49,20°C,Alexandria (Egypt),,port,citadel,walls,,,,{t1:argent;ordinaries:[{ordinary:bordure;t:azure}];shield:boeotian},https://watabou.github.io/city-generator/?name=Pegera&population=1416&size=15&seed=2563131000172&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=0.4
173,Bhrunos,Bhrunos,Bhrunos Region,Aberleith,Thearchy of Aberleith,Keltan,Treaberlese Pantheon,village,5812,699.45,541.24,19.22,4.66,49,19°C,Marrakesh (Morocco),,,,,plaza,,,{t1:argent;charges:[{charge:anchor;t:azure;p:e;size:1.5}];shield:oval},https://watabou.github.io/village-generator/?pop=5812&name=Bhrunos&seed=2563131000173&width=1600&height=780&style=default&tags=dead+end%2Cdense
174,Weillen,Tufin,Tufin Parish,Fischrenia,Bishopric of Fischrenia,Shwazen,Shwazen Religion,town,918,299.57,366.68,27.57,-14.47,256,12°C,Paris (France),,,,walls,,,,{t1:gules;charges:[{charge:key;t:argent;p:e;size:1.5}];shield:swiss},https://watabou.github.io/city-generator/?name=Weillen&population=918&size=13&seed=2563131000174&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
175,Citrametoli,Conterra,Conterra County,Aciasecia,Principality of Aciasecia,Tallian,Faith of Fateaux,town,3875,202.25,505.96,20.91,-19.12,841,13°C,Milan (Italy),,,,walls,,,,{t1:purpure;charges:[{charge:saw;t:argent;p:kn;t2:argent;size:0.7}];shield:horsehead},https://watabou.github.io/city-generator/?name=Citrametoli&population=3875&size=22&seed=2563131000175&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
176,Kiurive,New Turanmaa,New Turanmaa Colony,Turanmaa,Turanmaan Theocracy,Soumi,Kocapism,village,6023,368.2,181.47,36.42,-11.19,169,8°C,Prague (Czechia),,,,,,,,{t1:sable;ordinaries:[{ordinary:chief;t:or;line:dovetailed}];charges:[{charge:column;t:sable;p:abc;size:0.5}];shield:pavise},https://watabou.github.io/village-generator/?pop=6023&name=Kiurive&seed=2563131000176&width=1600&height=780&style=default&tags=highway%2Cno+square%2Cdense
177,Atardekiko,Eriyurt,Eriyurt Shire,Boy,Boyan Khaganate,Turchian,Kocapism,town,5152,743.14,372.33,27.3,6.75,625,10°C,London (England),,,,,,,,{t1:pally-or-azure;ordinaries:[{ordinary:chevronReversed;t:sable}];shield:round},https://watabou.github.io/city-generator/?name=Atardekiko&population=5152&size=24&seed=2563131000177&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
178,Alok,Derinbey,Derinbey Clan,Boy,Boyan Khaganate,Turchian,Kocapism,town,245,494.56,390.5,26.43,-5.14,49,15°C,Rome (Italy),,,citadel,,,,,{t1:or;charges:[{charge:heart;t:sable;p:e;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Alok&population=245&size=8&seed=2563131000178&river=0&coast=0&farms=0&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
179,Tuusnas,Jung,Jung Region,Boy,Boyan Khaganate,Soumi,Kocapism,town,2613,516.76,173.36,36.81,-4.08,9,8°C,Prague (Czechia),,port,,,,,,{t1:gules;charges:[{charge:mullet;t:or;p:abcpqh;size:0.5}];shield:pavise},https://watabou.github.io/city-generator/?name=Tuusnas&population=2613&size=19&seed=2563131000179&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=1.7
180,Sonte,Sezesezia,Sezesezia County,Aciasecia,Principality of Aciasecia,Tallian,Faith of Fateaux,town,4406,238.43,426.19,24.72,-17.39,1024,9°C,Copenhagen (Denmark),,,,,,,,{t1:purpure;ordinaries:[{ordinary:terrace;t:argent;line:dancetty}];charges:[{charge:crossCarolingian;t:argent;p:bdf;size:0.5}];shield:horsehead},https://watabou.github.io/city-generator/?name=Sonte&population=4406&size=23&seed=2563131000180&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
181,Monch,Tufin,Tufin Parish,Fischrenia,Bishopric of Fischrenia,Shwazen,Shwazen Religion,town,3056,302.42,363.4,27.73,-14.33,64,14°C,Washington (D.C.),,,,,,,,{t1:gules;ordinaries:[{ordinary:mount;t:argent;line:nebuly}];charges:[{charge:snail;t:or;p:def;t2:or;size:0.5}];shield:swiss},https://watabou.github.io/city-generator/?name=Monch&population=3056&size=20&seed=2563131000181&river=0&coast=0&farms=0&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
182,Diva,Chortilia,Chortilia Parish,Aberleith,Thearchy of Aberleith,Keltan,Treaberlese Pantheon,town,1057,705.87,448.84,23.64,4.97,225,15°C,Rome (Italy),,port,,,,,,{t1:or;charges:[{charge:dragonRampant;t:gules;p:e;t2:gules;t3:gules;size:1.5}];shield:oval},https://watabou.github.io/city-generator/?name=Diva&population=1057&size=13&seed=2563131000182&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
183,Erbey,Erbey,Erbey Barony,Boy,Boyan Khaganate,Turchian,Kocapism,city,5123,485.09,329.61,29.34,-5.59,25,13°C,Milan (Italy),,port,citadel,walls,plaza,,shanty town,{t1:or;ordinaries:[{ordinary:cross;t:purpure;line:barby}];charges:[{charge:triangle;t:purpure;p:acgi;size:0.5}];shield:round},https://watabou.github.io/city-generator/?name=Erbey&population=5123&size=24&seed=2563131000183&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=1&shantytown=1&style=natural&sea=0.2
184,Aplesey,Binghambe,Binghambe Parish,Orporpor,Orporpor Theocracy,Angshire,Bramburghism,town,5357,976.74,367.48,27.53,17.93,400,11°C,Antwerp (Belgium),,,,,,,,{t1:or;division:{division:perPale;t:vert;line:wavy};charges:[{charge:armEmbowedHoldingSabre;t:gules;p:p;t2:gules;t3:azure;size:0.7};{charge:sword;t:argent;p:q;size:0.7}];shield:wedged},https://watabou.github.io/city-generator/?name=Aplesey&population=5357&size=24&seed=2563131000184&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
185,Aydi,Kesenbyurt,Kesenbyurt Barony,Boy,Boyan Khaganate,Turchian,Kocapism,town,4410,664.92,447.55,23.7,3.01,625,12°C,Paris (France),,,,,,,,{t1:or;division:{division:perFess;t:vert;line:straight};charges:[{charge:anvil;t:purpure;p:k;size:0.7};{charge:chain;t:argent;p:n;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Aydi&population=4410&size=23&seed=2563131000185&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
186,Chamouvilles,Aunesardon,Aunesardon Parish,Puines,Puinian Theocracy,Luari,Luari Doctrine,town,3326,163.02,328.02,29.42,-21,81,12°C,Paris (France),,,,,,,,{t1:or;charges:[{charge:crossPatriarchal;t:azure;p:e;size:1.5}];shield:french},https://watabou.github.io/city-generator/?name=Chamouvilles&population=3326&size=20&seed=2563131000186&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
187,Erduzer,Enizdyurt,Enizdyurt Earldom,Malscken,Grand Duchy of Malscken,Turchian,Kocapism,town,3275,408.83,447.6,23.7,-9.24,36,16°C,Dubrovnik (Croatia),,,,,,,,{t1:gules;division:{division:perFess;t:or;line:embattled};charges:[{charge:crown;t:argent;p:kn;t2:argent;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Erduzer&population=3275&size=20&seed=2563131000187&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
188,Pacapa,Skylbieia,Skylbieia Land,Peina,Principality of Peina,Elladan,Tamanian Heresy,town,3125,1110.62,603.66,16.24,24.33,9,21°C,Tegucigalpa (Honduras),,port,,walls,,,,{t1:argent;division:{division:chevronny;t:gules};charges:[{charge:drakkar;t:azure;p:e;t2:azure;t3:azure;divided:counter;size:1.5}];shield:boeotian},https://watabou.github.io/city-generator/?name=Pacapa&population=3125&size=20&seed=2563131000188&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=0.19
190,Bolneytes,Bosteria,Bosteria Parish,Orporpor,Orporpor Theocracy,Angshire,Bramburghism,village,528,1100.44,366.26,27.59,23.85,25,14°C,Washington (D.C.),,,,,,,,{t1:argent;charges:[{charge:chain;t:sable;p:e;size:1.5}];shield:wedged},https://watabou.github.io/village-generator/?pop=528&name=Bolneytes&seed=2563131000190&width=1000&height=488&style=default&tags=dead+end%2Cno+square%2Cdense
191,Puises,Corvilter,Corvilter Parish,Puines,Puinian Theocracy,Luari,Luari Doctrine,village,3330,180.98,365.6,27.62,-20.14,625,10°C,London (England),,,,,,,,{t1:ermine-argent-sable-small;charges:[{charge:wyvern;t:azure;p:e;t2:azure;t3:azure;size:1.5}];shield:french},https://watabou.github.io/village-generator/?pop=3330&name=Puises&seed=2563131000191&width=1600&height=780&style=default&tags=dead+end%2Cno+square%2Cdense
192,Shorough,Mitherslia,Mitherslia Parish,Orporpor,Orporpor Theocracy,Angshire,Bramburghism,village,1176,1030.65,426.06,24.73,20.51,9,16°C,Dubrovnik (Croatia),,port,,,,,,{t1:or;division:{division:perCross;t:purpure;line:engrailed};ordinaries:[{ordinary:bar;t:vert;line:straight;divided:counter}];shield:wedged},https://watabou.github.io/village-generator/?pop=1176&name=Shorough&seed=2563131000192&width=1400&height=683&style=default&tags=coast%2Chighway%2Cno+square%2Cdense
193,Boztoprak,Erbey,Erbey Barony,Boy,Boyan Khaganate,Turchian,Kocapism,town,686,474.17,319,29.85,-6.12,64,13°C,Milan (Italy),,port,,,,,,{t1:ermine-or-vert;division:{division:perPale;t:gules;line:straight};charges:[{charge:plaice;t:azure;p:e;t2:azure;divided:field;size:1.5};{charge:tower;t:argent;p:e;divided:division;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Boztoprak&population=686&size=11&seed=2563131000193&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.23
194,Volomanev,Stalia,Stalia Seneschalty,Stansburia,Stansburian Empire,Slovan,Bramburghism,town,5757,959.94,302.08,30.66,17.12,529,9°C,Copenhagen (Denmark),,,citadel,walls,,,,{t1:argent;ordinaries:[{ordinary:chevron;t:gules}];charges:[{charge:head;t:or;p:h;t2:vert;size:0.5}];shield:polish},https://watabou.github.io/city-generator/?name=Volomanev&population=5757&size=25&seed=2563131000194&river=0&coast=0&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural
195,Neugy,Neugy,Neugy Region,Aciasecia,Principality of Aciasecia,Luari,Faith of Fateaux,town,8032,199.12,451.59,23.51,-19.27,9,16°C,Dubrovnik (Croatia),,port,citadel,,,,,{t1:gules;division:{division:perChevronReversed;t:argent;line:enclavy};charges:[{charge:mace;t:or;p:dfh;t2:or;size:0.5}];shield:french},https://watabou.github.io/city-generator/?name=Neugy&population=8032&size=28&seed=2563131000195&river=0&coast=1&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.55
196,Torreruesa,Heruesia,Heruesia County,Sazkyurt,Beylik of Sazkyurt,Astellian,Astellian Beliefs,town,4498,466.72,692.38,12,-6.47,9,22°C,Guangzhou (China),,port,citadel,,,,,{t1:azure;ordinaries:[{ordinary:terrace;t:argent;line:arched}];charges:[{charge:key;t:argent;p:bdf;size:0.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Torreruesa&population=4498&size=23&seed=2563131000196&river=0&coast=1&farms=1&citadel=1&urban_castle=1&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.16
197,Mithersto,Oluyurt,Oluyurt County,Stansburia,Stansburian Empire,Angshire,Kocapism,town,771,781,278.46,31.79,8.56,289,9°C,Copenhagen (Denmark),,,citadel,,,,,{t1:gules;division:{division:perFess;t:or;line:straight};charges:[{charge:scissors2;t:argent;p:kn;divided:counter;size:0.7}];shield:wedged},https://watabou.github.io/city-generator/?name=Mithersto&population=771&size=12&seed=2563131000197&river=0&coast=0&farms=1&citadel=1&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
198,Cambrovil,Dury,Dury Earldom,Sagelia,Grand Duchy of Sagelia,Angshire,Bramburghism,village,500,1042.47,317.71,29.91,21.07,81,12°C,Paris (France),,,,walls,,,,{t1:vairEnPointe-argent-gules;charges:[{charge:crossClechy;t:purpure;p:e;size:1.5}];shield:wedged},https://watabou.github.io/village-generator/?pop=500&name=Cambrovil&seed=2563131000198&width=800&height=390&style=default&tags=highway%2Cuncultivated%2Cno+square%2Cpalisade%2Cdense
199,Mondenzaraci,Rociaticia,Rociaticia County,Sazkyurt,Beylik of Sazkyurt,Tallian,Kocapism,town,495,263.1,578.31,17.45,-16.21,4,20°C,Alexandria (Egypt),,,,,plaza,,,{t1:purpure;ordinaries:[{ordinary:pileInBendSinister;t:argent}];charges:[{charge:crossOccitan;t:purpure;p:em;size:0.5}];shield:horsehead},https://watabou.github.io/city-generator/?name=Mondenzaraci&population=495&size=10&seed=2563131000199&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
200,Ondolitaja,Sereli,Sereli Land,Alprakeli,Alprakelian Horde,Astellian,Kocapism,town,2124,407.4,578.47,17.44,-9.31,729,15°C,Rome (Italy),,,,,,,,{t1:or;charges:[{charge:horseshoe;t:gules;p:e;size:1.5}];shield:spanish},https://watabou.github.io/city-generator/?name=Ondolitaja&population=2124&size=17&seed=2563131000200&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
201,Bogu,Paisa,Paisa Land,Boy,Boyan Khaganate,Turchian,Kocapism,town,13453,514.78,284.54,31.5,-4.17,169,11°C,Antwerp (Belgium),,,,,plaza,,,{t1:purpure;ordinaries:[{ordinary:crossParted;t:argent;line:straight}];charges:[{charge:lionPassant;t:gules;p:e;t2:gules;t3:argent;size:1.5}];shield:round},https://watabou.github.io/city-generator/?name=Bogu&population=13453&size=35&seed=2563131000201&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural
202,Aberleith,Braberctare,Braberctare Parish,Aberleith,Thearchy of Aberleith,Keltan,Treaberlese Pantheon,town,4134,743.5,474.78,22.4,6.77,225,16°C,Dubrovnik (Croatia),,,,,,,,{t1:argent;division:{division:perPile;t:gules;line:straight};charges:[{charge:sabre;t:purpure;p:abc;t2:purpure;divided:counter;size:0.4}];shield:oval},https://watabou.github.io/city-generator/?name=Aberleith&population=4134&size=22&seed=2563131000202&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
203,Vulak,Jung,Jung Region,Boy,Boyan Khaganate,Turchian,Kocapism,town,2249,645.62,152.53,37.81,2.09,9,8°C,Prague (Czechia),,port,,,plaza,,,{t1:argent;ordinaries:[{ordinary:pale;t:purpure;line:straight}];charges:[{charge:spiral;t:or;p:beh;size:0.5}];shield:round},https://watabou.github.io/city-generator/?name=Vulak&population=2249&size=18&seed=2563131000203&river=0&coast=1&farms=0&citadel=0&urban_castle=0&hub=0&plaza=1&greens=1&temple=0&walls=0&shantytown=0&style=natural&sea=1.24
204,Ocressoy,Aunesardon,Aunesardon Parish,Puines,Puinian Theocracy,Luari,Luari Doctrine,village,834,168.82,310.33,30.26,-20.72,16,12°C,Paris (France),,,citadel,,,,,{t1:azure;ordinaries:[{ordinary:bordure;t:or}];charges:[{charge:eagle;t:or;p:e;t2:or;t3:or;size:1.1}];shield:french},https://watabou.github.io/village-generator/?pop=834&name=Ocressoy&seed=2563131000204&width=1000&height=488&style=default&tags=dead+end%2Cno+square%2Cdense
205,Montef,Redchamia,Redchamia Parish,Orporpor,Orporpor Theocracy,Angshire,Bramburghism,town,1790,1098.78,422.85,24.88,23.77,36,16°C,Dubrovnik (Croatia),,port,,walls,,,,{t1:purpure;charges:[{charge:crossTriquetra;t:argent;p:jln;size:0.7}];shield:wedged},https://watabou.github.io/city-generator/?name=Montef&population=1790&size=16&seed=2563131000205&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=1&shantytown=0&style=natural&sea=1.72
206,Anovadabe,Erbey,Erbey Barony,Boy,Boyan Khaganate,Turchian,Kocapism,village,4914,459.38,315.73,30.01,-6.82,16,12°C,Paris (France),,,,,,,,{t1:argent;charges:[{charge:trianglePierced;t:sable;p:abcdefgzi;size:0.3}];shield:round},https://watabou.github.io/village-generator/?pop=4914&name=Anovadabe&seed=2563131000206&width=1600&height=780&style=default&tags=isolated%2Cfarmland%2Cno+square%2Cdense
207,Monta,Vellena,Vellena Captaincy,Aciasecia,Principality of Aciasecia,Tallian,Faith of Fateaux,town,6351,108.98,549.52,18.83,-23.59,16,19°C,Marrakesh (Morocco),,port,,,,,,{t1:purpure;charges:[{charge:drakkar;t:argent;p:e;t2:argent;t3:argent;size:1.5}];shield:horsehead},https://watabou.github.io/city-generator/?name=Monta&population=6351&size=26&seed=2563131000207&river=0&coast=1&farms=1&citadel=0&urban_castle=0&hub=1&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural&sea=0.36
208,Sabewedhek,Invenek,Invenek Parish,Aberleith,Thearchy of Aberleith,Keltan,Treaberlese Pantheon,town,1372,677.08,547.71,18.91,3.59,4,19°C,Marrakesh (Morocco),,,,,,,,{t1:or;charges:[{charge:crossFourchy;t:gules;p:e;size:1.5}];shield:oval},https://watabou.github.io/city-generator/?name=Sabewedhek&population=1372&size=15&seed=2563131000208&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
209,Bilterinka,Alese,Alese County,Boy,Boyan Khaganate,Turchian,Kocapism,town,5293,662.57,244.39,33.42,2.9,144,9°C,Copenhagen (Denmark),,,,,,,,{t1:palyBendy-argent-azure;division:{division:perCross;t:gules;line:straight};charges:[{charge:maces;t:vert;p:j;t2:vert;size:0.6};{charge:fly;t:argent;p:l;size:0.6};{charge:hand;t:argent;p:m;size:0.6};{charge:lizard;t:azure;p:o;size:0.6}];shield:round},https://watabou.github.io/city-generator/?name=Bilterinka&population=5293&size=24&seed=2563131000209&river=1&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
210,Akardeme,Erlyurt,Erlyurt Barony,Boy,Boyan Khaganate,Turchian,Kocapism,town,5426,668.45,302.58,30.63,3.18,400,9°C,Copenhagen (Denmark),,,,,,,,{t1:or;charges:[{charge:bullHeadCaboshed;t:sable;p:jlh;t2:sable;size:0.7}];shield:round},https://watabou.github.io/city-generator/?name=Akardeme&population=5426&size=25&seed=2563131000210&river=0&coast=0&farms=1&citadel=0&urban_castle=0&hub=0&plaza=0&greens=0&temple=0&walls=0&shantytown=0&style=natural
211,Tarluno,Castinia,Castinia Territory,Sazkyurt,Beylik of Sazkyurt,Tallian,Faith of Fateaux,village,629,190.17,565.78,18.05,-19.7,529,17°C,Lisbon (Portugal),,,,,,,,{t1:azure;ordinaries:[{ordinary:chief;t:or;line:arched}];shield:horsehead},https://watabou.github.io/village-generator/?pop=629&name=Tarluno&seed=2563131000211&width=1000&height=488&style=default&tags=dead+end%2Cno+square%2Cdense
212,Akaybar,Galu,Galu Territory,Boy,Boyan Khaganate,Turchian,Kocapism,village,509,625.11,277.34,31.84,1.11,441,8°C,Prague (Czechia),,,,walls,,,,{t1:or;charges:[{charge:bearRampant;t:sable;p:e;t2:sable;t3:sable;size:1.5}];shield:round},https://watabou.github.io/village-generator/?pop=509&name=Akaybar&seed=2563131000212&width=1000&height=488&style=default&tags=dead+end%2Cno+square%2Cpalisade%2Cdense
